name,method1_irf,method2_irf,method3_irf,method4_irf,method1_srf,method2_srf,method3_srf,method4_srf,method1_ped,method2_ped,method3_ped,method4_ped,method1_mean,method2_mean,method3_mean,method4_mean
TRAIN001_Cirrus_033,0.7540983606557377,0.7820299500831946,0.7304075235109718,0.7617391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9180327868852459,0.9273433166943983,0.910135841170324,0.9205797101449275
TRAIN001_Cirrus_034,0.7488151658767772,0.7574879227053141,0.7086206896551724,0.7749287749287749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9162717219589257,0.9191626409017714,0.9028735632183907,0.9249762583095916
TRAIN001_Cirrus_035,0.7820627802690583,0.7926509186351706,0.7877237851662404,0.7412712623097583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.927354260089686,0.9308836395450569,0.9292412617220801,0.913757087436586
TRAIN001_Cirrus_036,0.5254237288135594,0.5653846153846154,0.5643410852713179,0.6052009456264775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8418079096045198,0.8551282051282051,0.8547803617571059,0.8684003152088259
TRAIN001_Cirrus_037,0.7376623376623377,0.7204374572795625,0.7282184655396619,0.6481481481481481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9125541125541125,0.9068124857598542,0.9094061551798873,0.882716049382716
TRAIN001_Cirrus_038,0.7446024223275408,0.7096018735362998,0.7361190612478534,0.6792899408284023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9148674741091803,0.9032006245120999,0.9120396870826178,0.8930966469428009
TRAIN001_Cirrus_039,0.8076595744680851,0.8146143437077131,0.8219895287958116,0.8066248880931065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9358865248226951,0.9382047812359043,0.9406631762652705,0.9355416293643688
TRAIN001_Cirrus_040,0.8444738583719391,0.8379613356766257,0.8335635359116023,0.8114525139664804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9481579527906464,0.9459871118922085,0.9445211786372006,0.9371508379888268
TRAIN001_Cirrus_041,0.8479480366105698,0.8418043202033036,0.8521630874572051,0.8489208633093526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9493160122035232,0.9472681067344345,0.9507210291524016,0.9496402877697842
TRAIN001_Cirrus_042,0.8316188413643747,0.8247538677918425,0.8183333333333334,0.8311466058185967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9438729471214583,0.9415846225972807,0.9394444444444444,0.9437155352728656
