case,diff_1,diff_2,diff_3
ISIC_0013799,0.002175480609651226,0.006027765933542928,0.006588035725549557
ISIC_0013800,0.0018905133861999435,0.0042245246546993576,0.011248186360788726
ISIC_0013801,0.005174721395521553,0.02329578846239999,0.004382416950851176
ISIC_0013802,0.004281729818847002,0.011797659458304799,0.033593992940234574
ISIC_0013815,0.023501944612280057,0.03148509110216846,0.04139693805879885
ISIC_0013817,0.021096144898085534,0.008305643890165193,0.008404870010396137
ISIC_0013819,0.03804472186861174,0.10043339330538581,0.043998032826810474
ISIC_0013836,0.03663824190742859,0.047842083453671025,0.013292165995080873
ISIC_0013876,0.010754960666901625,0.014213683211713235,0.01871570297882086
ISIC_0013888,0.042573816155988764,0.015062923675314033,0.05399103469903521
ISIC_0013890,0.017666421027895063,0.0010477014080688685,0.23973093395586864
ISIC_0013942,0.08369452349673667,0.003130673233283532,0.027698383716737163
ISIC_0013961,0.19310978773382875,0.34122243979463945,0.022384502061787104
ISIC_0013962,0.006274712941379601,0.018315262320058645,0.022577247827020863
ISIC_0013969,0.01955862331742686,0.008170099667856867,0.0032518303524942116
ISIC_0013980,0.18248763514629285,0.07533080734062503,0.0854246161150709
ISIC_0013983,0.08910800947410824,0.03819691174527606,0.15693120048547815
ISIC_0013997,0.002245178723967567,0.017165546706772394,0.030117069072255198
ISIC_0014004,0.010757542910465379,0.017748027373695963,0.010599725661923132
ISIC_0014028,0.012450135199272627,0.02173813447334383,9.741486655878706e-05
ISIC_0014031,0.048455089499815585,0.0062197124382640245,0.04511500827736581
ISIC_0014032,0.010727096936479441,0.0013119908748894238,0.19514613483757937
ISIC_0014046,0.004568817818389359,0.02289658821880103,0.08880514392778038
ISIC_0014055,0.031191136965351363,0.03194838090905194,0.0722936763129689
ISIC_0014069,0.04640762378943908,0.014723085622824872,0.14269148697485434
ISIC_0014080,0.11996959741703683,0.1866267519291822,0.2400373239087713
ISIC_0014082,0.019428432293073006,0.10675426225937013,0.1305770307570897
ISIC_0014089,0.1038145202562255,0.029867445991581865,0.7784097426409835
ISIC_0014092,0.027011613584539962,0.02513203592944735,0.056074226035061625
ISIC_0014094,0.055933379597501776,0.01523341523341526,0.005492193555530878
ISIC_0014108,0.014785373757067233,0.005195349264720428,0.013315333101549087
ISIC_0014114,0.018004429673458056,0.000866511600508435,0.04713846707248526
ISIC_0014144,0.0027633180535053814,0.007653287516094398,0.016633325539303634
ISIC_0014149,0.0006584348048344069,0.11047337268315116,0.03512476519390295
ISIC_0014150,0.01058666028784061,0.0051778964939643846,0.02588245065886874
ISIC_0014157,0.03748506500049298,0.022307454582869757,0.042153861491716293
ISIC_0014163,0.01099847138556076,0.01595248278439454,0.029205309480956787
ISIC_0014174,0.00464252553389044,0.0098488929378594,0.006725410867677195
ISIC_0014185,0.0007621287812428212,1.3995401972222155e-05,0.006165785670602442
ISIC_0014191,0.012975807433772801,0.0186843674800512,0.19099301477813946
ISIC_0014249,0.022821623129459012,0.053035107737921416,0.06478620732636797
ISIC_0014253,0.013837846941934129,0.00917042216579056,0.042486125181694145
ISIC_0014263,0.00610651911883997,0.008218654791281033,0.06299806600416835
ISIC_0014299,0.12547078176406068,0.0698096132502346,0.047944607796642225
