filename,my_socre,unet_score,unetplus_score,ege_score
ISIC_0014174,0.9322191272051996,0.9275766016713093,0.9223702342673402,0.9254937163375224
ISIC_0014178,0.9635083226632524,0.9635863408318499,0.9634498236614298,0.9525428968928737
ISIC_0014179,0.947799385875128,0.9630487961890049,0.9697168757800697,0.8991094445746427
ISIC_0014183,0.6629834254143646,0.6662486563955572,0.666890305266689,0.6707598519486174
ISIC_0014185,0.9666771785977084,0.9659150498164657,0.9666631831957362,0.960511392927106
ISIC_0014187,0.5789473684210525,0.46277856804172585,0.5345188284518828,0.6921119592875318
ISIC_0014189,0.8152326268681922,0.82902989057913,0.7220887805056931,0.8645640074211502
ISIC_0014190,0.6340914208511597,0.8151607688162387,0.8385574654533199,0.684029484029484
ISIC_0014191,0.9207556935817804,0.9077798861480076,0.9020713261017291,0.729762678803641
ISIC_0014195,0.9306333476949591,0.9362068965517241,0.9498725573491928,0.9154872624342903
ISIC_0014197,0.9782102813623863,0.9804106432013409,0.9819105046017137,0.9802524749882142
ISIC_0014211,0.9790979097909791,0.9819195214790648,0.9748641304347826,0.9575406490685274
ISIC_0014212,0.9549262429429977,0.9602960054368346,0.9621611843097055,0.9724770642201834
ISIC_0014216,0.9550870760769936,0.9694857628559287,0.9699610763242511,0.96885225003187
ISIC_0014217,0.8709330211303511,0.911598177119296,0.894858407251412,0.8377121307353864
ISIC_0014222,0.771912862192948,0.7618504435994929,0.7821533305404273,0.6306685044796692
ISIC_0014225,0.9150280898876404,0.920979020979021,0.906951871657754,0.914
ISIC_0014229,0.9203595647374232,0.918473959157828,0.9611377542583099,0.9323971260613979
ISIC_0014238,0.9675113710201428,0.9772103819371175,0.9751360580514352,0.9735984011780794
ISIC_0014248,0.6022566995768688,0.4608742579600647,0.44340602284527514,0.7806691449814127
ISIC_0014249,0.9663912317506529,0.9435696086211938,0.9133561240127314,0.9016050244242848
ISIC_0014253,0.9717465753424658,0.9579087284005317,0.9625761531766753,0.9292604501607716
ISIC_0014263,0.9517738359201774,0.9456673168013374,0.9435551811288964,0.888775769916009
ISIC_0014264,0.9588477366255145,0.9658901098901099,0.9595554981263729,0.9767041295267622
ISIC_0014272,0.8638822381839142,0.8749122807017544,0.8284165058358607,0.6762181715015249
ISIC_0014273,0.8584976667168448,0.8984097015467286,0.8943728616146174,0.9326002347562858
ISIC_0014274,0.8883420486004306,0.8494897959183674,0.8774113254511512,0.9018181818181819
ISIC_0014286,0.934819897084048,0.9665306122448979,0.9533333333333334,0.9314641744548287
ISIC_0014289,0.9815310045127863,0.9776411864197022,0.9811304966319401,0.9818437778191832
ISIC_0014290,0.9575992833681697,0.9581409206018173,0.9579530151129731,0.9621464829586656
ISIC_0014291,0.887141858839972,0.9222438446569083,0.918002204697702,0.9278696783944916
ISIC_0014299,0.7446153846153845,0.6191446028513238,0.6748057713651499,0.6966707768187422
ISIC_0014302,0.9560594214229867,0.9651329406145519,0.95559337768838,0.9428352490421457
ISIC_0014308,0.9488060949549382,0.9467927326659251,0.9570656809781064,0.9647546648237733
ISIC_0014310,0.9739485247959825,0.9751700142337498,0.9677317304650428,0.9613310737944848
ISIC_0014311,0.9347076996197718,0.9464928465563656,0.9387005385884625,0.8958751519606457
ISIC_0014316,0.9650903689031939,0.9760962743158589,0.9708120766078447,0.9288598943771358
ISIC_0014317,0.9450625869262865,0.9563655952594721,0.9477715877437326,0.9197104864500926
ISIC_0014324,0.870889994472084,0.871498346365289,0.8742190501223236,0.82823148461915
ISIC_0014325,0.937245151665838,0.9501622544833476,0.8931830381105743,0.959724683112989
ISIC_0014327,0.9167540639748295,0.9034730247551851,0.9157115724670902,0.8972250162712265
ISIC_0014328,0.4182718767198679,0.44501555525497094,0.43846780766096166,0.5789864029666255
ISIC_0014331,0.8307430391564612,0.8042830644707998,0.8346754313886606,0.8167533442723252
ISIC_0014337,0.8929574026608079,0.8873256519102486,0.816700156284885,0.8703349282296651
ISIC_0014341,0.9328763404370843,0.9651744557996095,0.9246569490251029,0.9560557341907824
ISIC_0014346,0.8916129032258064,0.8989637305699482,0.891994917407878,0.9030579050097592
ISIC_0014347,0.8236379360046122,0.8669155594597562,0.8463207074920741,0.7828749711116245
ISIC_0014353,0.9271817676486936,0.9100112485939259,0.9245179063360881,0.9158785465405674
ISIC_0014357,0.86420130399348,0.9158521269043849,0.9034530607888136,0.9132789845160585
ISIC_0014360,0.9490287232276274,0.9728801922416752,0.965245677110084,0.9288852725793327
ISIC_0014361,0.9602649006622516,0.9542353610005685,0.9623097710140804,0.9519139081868954
ISIC_0014365,0.950765189890381,0.95524658411614,0.9729934838929161,0.9779934776468171
ISIC_0014366,0.9645269162677857,0.9546659931809572,0.9293166244829927,0.8157534966873488
ISIC_0014372,0.7677773522277543,0.7591960561243837,0.7567882482678263,0.803507183531486
ISIC_0014382,0.9578536585365854,0.9420851895772572,0.9321430840587077,0.9534929101079745
ISIC_0014385,0.9345351371924847,0.9316515928135332,0.9274362711984926,0.9231890394986154
ISIC_0014393,0.5761648134251994,0.4787570621468927,0.45108059193016076,0.41881607845140206
ISIC_0014394,0.9401606425702811,0.9595092024539877,0.9559877175025588,0.9504716981132074
ISIC_0014395,0.9569517709118311,0.9756003657538861,0.9693521396127182,0.9680207433016422
ISIC_0014397,0.9752537812385339,0.9710806697108068,0.9698265230617445,0.9631772533785179
ISIC_0014410,0.8228056684609469,0.7436991869918699,0.7898619704902426,0.5893054024255788
ISIC_0014422,0.8459591357349696,0.881982377932651,0.8865161443119918,0.9340543905380695
ISIC_0014428,0.9607207207207208,0.9595977733884,0.962576466354804,0.9589325940045053
ISIC_0014430,0.978555732363416,0.9785362153962835,0.9754267779223761,0.9705461393596986
ISIC_0014431,0.9273979862215156,0.928495197438634,0.9448491155046825,0.9255372313843079
ISIC_0014432,0.8833943833943834,0.9011609664261061,0.9140300415468201,0.8627678054429648
ISIC_0014433,0.8180806675938804,0.8267382702091578,0.802301685162351,0.8841917237272998
ISIC_0014438,0.9676187445301933,0.9606424425538683,0.9520045172219086,0.9658331456033642
ISIC_0014440,0.8899707887049659,0.9138276553106212,0.8773946360153257,0.8625954198473282
ISIC_0014441,0.9556840077071291,0.958682461716267,0.9619925136769364,0.9655657062543922
ISIC_0014453,0.9626865671641792,0.967460927491673,0.9686234817813765,0.9614900578907627
ISIC_0014458,0.9379151025122725,0.952058657642414,0.9474885844748857,0.8305444261135989
ISIC_0014469,0.9505519431422955,0.9338071968014217,0.9299719887955181,0.9067126635043841
ISIC_0014473,0.8992217898832685,0.7650140460101739,0.7851221151691687,0.6251373510269631
